District,Year,Price_per_sqm_SAR,Size_sqm,Bedrooms,Total_Price_SAR
King Fahd,2021,7882,349,2,2750818
South Riyadh,2021,8486,299,4,2537314
North Riyadh,2021,5284,304,1,1606336
Olaya,2022,7658,174,4,1332492
Al Sulimaniyah,2021,11153,73,1,814169
Al Rawdah,2019,5131,329,6,1688099
Al Narjis,2023,4986,415,1,2069190
South Riyadh,2019,9552,200,3,1910400
North Riyadh,2025,11833,418,4,4946194
South Riyadh,2021,10251,272,4,2788272
West Riyadh,2019,13342,106,3,1414252
Al Rawdah,2020,11700,133,5,1556100
North Riyadh,2021,11802,71,6,837942
Al Yasmin,2023,7318,191,5,1397738
South Riyadh,2021,12548,218,4,2735464
Al Qirawan,2025,5138,366,6,1880508
Al Sulimaniyah,2020,13503,427,1,5765781
Al Rawdah,2022,10375,427,2,4430125
Al Qirawan,2022,8027,95,6,762565
Al Rawdah,2025,8114,158,2,1282012
South Riyadh,2024,13546,131,1,1774526
East Riyadh,2020,4975,180,4,895500
North Riyadh,2021,6958,168,4,1168944
South Riyadh,2019,13869,216,6,2995704
Al Yasmin,2021,6389,278,4,1776142
Olaya,2023,11090,375,1,4158750
Al Rawdah,2025,10681,423,2,4518063
Al Yasmin,2020,5880,206,1,1211280
Al Rawdah,2019,8183,226,2,1849358
King Fahd,2022,5784,397,6,2296248
Al Narjis,2020,14145,237,2,3352365
Al Yasmin,2018,10652,369,4,3930588
Al Sulimaniyah,2020,12765,156,6,1991340
Olaya,2018,4555,353,4,1607915
Al Malqa,2024,8455,303,4,2561865
Olaya,2023,4240,239,3,1013360
Al Yasmin,2021,14961,446,1,6672606
Al Narjis,2023,10157,81,5,822717
East Riyadh,2025,7194,422,5,3035868
Olaya,2022,6779,153,2,1037187
Al Sulimaniyah,2024,12840,87,1,1117080
Al Yasmin,2021,4045,137,4,554165
Al Narjis,2021,9791,414,2,4053474
Olaya,2024,9411,144,1,1355184
East Riyadh,2022,7301,412,4,3008012
Al Malqa,2020,4822,368,6,1774496
King Fahd,2018,10869,312,2,3391128
West Riyadh,2021,6902,165,5,1138830
Al Narjis,2020,14509,170,4,2466530
Al Qirawan,2025,8904,435,4,3873240
Al Malqa,2022,11786,261,6,3076146
Al Malqa,2025,11687,183,4,2138721
Al Sulimaniyah,2020,6712,227,4,1523624
West Riyadh,2024,4789,164,3,785396
Al Malqa,2022,12181,211,6,2570191
Al Narjis,2025,9488,248,3,2353024
South Riyadh,2021,14114,66,4,931524
North Riyadh,2025,11347,244,1,2768668
Al Sulimaniyah,2018,12090,334,6,4038060
Al Sulimaniyah,2022,7949,221,1,1756729
Al Malqa,2025,12903,113,1,1458039
Al Malqa,2025,5388,137,3,738156
South Riyadh,2023,12883,380,6,4895540
Al Rawdah,2019,10892,242,5,2635864
East Riyadh,2019,6914,257,3,1776898
East Riyadh,2018,14308,225,1,3219300
East Riyadh,2018,6632,134,6,888688
Al Yasmin,2021,9102,76,2,691752
Olaya,2021,6966,85,1,592110
Olaya,2021,12222,188,1,2297736
Al Sulimaniyah,2018,10127,196,6,1984892
Al Narjis,2025,4326,283,4,1224258
South Riyadh,2022,4502,400,6,1800800
Al Sulimaniyah,2025,12172,136,1,1655392
Al Rawdah,2020,12423,311,3,3863553
Al Yasmin,2021,13285,376,2,4995160
Al Qirawan,2021,11088,246,4,2727648
Al Rawdah,2025,11472,95,5,1089840
King Fahd,2025,8353,86,1,718358
Al Narjis,2018,6805,277,1,1884985
Al Sulimaniyah,2021,5797,406,3,2353582
King Fahd,2020,10101,267,2,2696967
Al Narjis,2021,10817,106,2,1146602
King Fahd,2022,7950,267,5,2122650
Al Sulimaniyah,2024,9813,304,2,2983152
South Riyadh,2022,11794,433,4,5106802
East Riyadh,2019,4578,360,6,1648080
North Riyadh,2019,10315,375,4,3868125
East Riyadh,2019,13101,436,2,5712036
West Riyadh,2022,14641,305,3,4465505
Al Narjis,2018,4357,108,4,470556
South Riyadh,2024,8646,179,4,1547634
North Riyadh,2025,12066,217,4,2618322
Al Qirawan,2020,5724,233,5,1333692
North Riyadh,2023,5482,351,2,1924182
Al Rawdah,2022,9574,124,3,1187176
Al Yasmin,2019,12890,258,5,3325620
King Fahd,2024,9420,425,5,4003500
West Riyadh,2019,5052,347,2,1753044
Al Rawdah,2025,11483,249,1,2859267
West Riyadh,2024,9996,297,2,2968812
Al Qirawan,2023,13162,151,1,1987462
Al Malqa,2024,4637,249,3,1154613
Olaya,2023,6419,326,4,2092594
King Fahd,2018,10205,160,2,1632800
Al Qirawan,2025,10360,386,5,3998960
Al Yasmin,2024,10159,176,1,1787984
Al Narjis,2024,7851,82,5,643782
Al Narjis,2019,5326,334,1,1778884
East Riyadh,2019,14286,207,1,2957202
North Riyadh,2018,8616,134,4,1154544
King Fahd,2023,8099,167,5,1352533
Al Qirawan,2022,5315,104,2,552760
East Riyadh,2021,6836,372,1,2542992
Olaya,2023,9320,305,2,2842600
North Riyadh,2024,8318,379,5,3152522
Al Rawdah,2024,13168,289,3,3805552
Al Yasmin,2018,7362,69,2,507978
West Riyadh,2019,14695,380,5,5584100
Al Rawdah,2024,10217,235,2,2400995
Al Malqa,2025,10795,155,3,1673225
Al Sulimaniyah,2019,4103,192,5,787776
East Riyadh,2023,8501,83,5,705583
South Riyadh,2025,5022,102,5,512244
King Fahd,2023,9495,279,6,2649105
King Fahd,2022,8966,353,3,3164998
North Riyadh,2022,6510,440,3,2864400
Al Malqa,2018,13007,69,6,897483
Olaya,2019,9833,84,1,825972
King Fahd,2022,9093,177,5,1609461
Al Rawdah,2019,13450,341,2,4586450
East Riyadh,2021,6226,309,2,1923834
Al Rawdah,2023,4589,176,4,807664
Al Malqa,2019,10986,248,5,2724528
King Fahd,2020,5686,323,4,1836578
Al Qirawan,2023,6729,208,6,1399632
Al Yasmin,2025,14006,233,2,3263398
East Riyadh,2024,9242,231,5,2134902
West Riyadh,2023,12200,174,1,2122800
West Riyadh,2024,13912,253,6,3519736
Al Narjis,2018,6394,197,4,1259618
Al Yasmin,2022,14134,203,5,2869202
East Riyadh,2019,13884,194,6,2693496
Al Narjis,2021,4434,181,6,802554
Al Sulimaniyah,2018,5547,190,6,1053930
North Riyadh,2018,6044,339,6,2048916
Al Rawdah,2024,7240,412,6,2982880
Al Sulimaniyah,2020,6391,155,3,990605
Al Qirawan,2025,10145,420,4,4260900
King Fahd,2021,11014,249,1,2742486
Al Narjis,2024,8488,369,4,3132072
